"SUMBERMULYO","BAMBANGLIPURO","BANTUL","Polsek Bambanglipuro","24 jam","(0274) 766075","-7.927388813","110.320153"
"BANGUNTAPAN","BANGUNTAPAN","BANTUL","Polsek Banguntapan","","(0274) 414132","-7.811247936","110.4076737"
"BANTUL","BANTUL","BANTUL","Polsek Bantul","","(0274) 367403","-7.896401888","110.337287"
"KALI TIRTO","BERBAH","SLEMAN","Polsek Berbah","","(0274) 496509","-7.790561668","110.4600139"
"ARGO MULYO","CANGKRINGAN","SLEMAN","Polsek Cangkringan","24 jam","(0274) 4469512","-7.658234364","110.4562559"
"BAUSASRAN","DANUREJAN","YOGYAKARTA","Polsek Danurejan","24 jam","(0274) 589609","-7.788391024","110.3780409"
"CONDONG CATUR","DEPOK","SLEMAN","Polsek Depok Timur","24 jam","(0274) 881557","-7.762188514","110.4153789"
"CATUR TUNGGAL","DEPOK","SLEMAN","Polsek Depok Barat","24 jam","(0274) 4535173","-7.783518464","110.4058323"
"TEMUWUH","DLINGO","BANTUL","Polsek Dlingo","","(+62) 8112583234","-7.929554035","110.4670873"
"BROSOT","GALUR","KULON PROGO","Polsek Galur","24 jam","(0274) 6473667","-7.940261442","110.2369601"
"AMBARKETAWANG","GAMPING","SLEMAN","Polsek Gamping","","(0274) 797110","-7.802721915","110.3138608"
"HARGOMULYO","GEDANGSARI","GUNUNGKIDUL","Polsek Gedangsari","","0878-5503-2227","-7.844477062","110.592759"
"PRINGGOKUSUMAN","GEDONGTENGEN","YOGYAKARTA","Polsek Gedongtengen","","(0274) 512696","-7.789480344","110.361244"
"GIRIPURWO","GIRIMULYO","KULON PROGO","Polsek Girimulyo","","(0274) 2824456","-7.770998959","110.1820012"
"JERUKWUDEL","GIRISUBO","GUNUNGKIDUL","Polsek Girisubo","","0813-9974-5747","-8.162352322","110.7695053"
"SIDOKARTO","GODEAN","SLEMAN","Polsek Godean","24 jam","(0274) 798110","-7.7722447","110.3084958"
"BACIRO","GONDOKUSUMAN","YOGYAKARTA","Polsek Gondokusuman","","(0274) 513125","-7.791693595","110.3866269"
"PRAWIRODIRJAN","GONDOMANAN","YOGYAKARTA","Polsek Gondomanan","24 jam","(0274) 375376","-7.803834291","110.370111"
"WUKIRSARI","IMOGIRI","BANTUL","Polsek Imogiri","","(0274) 6460752","-7.923079322","110.3871501"
"GOWONGAN","JETIS","YOGYAKARTA","Polsek Jetis","24 jam","(0274) 513136","-7.783092113","110.3596036"
"SUMBERAGUNG","JETIS","BANTUL","Polsek Jetis","24 jam","(0274) 765704","-7.889764632","110.3738955"
"TIRTO MARTANI","KALASAN","SLEMAN","Polsek Kalasan","24 jam","(0274) 496110","-7.765796975","110.4721376"
"BANJAROYO","KALIBAWANG","KULON PROGO","Polsek Kalibawang","24 jam","(0274) 2821687","-7.675168829","110.2628919"
"WILADEG","KARANGMOJO","GUNUNGKIDUL","Polsek Karangmojo","24 jam","(0274) 392956","-7.953701183","110.6789989"
"TIRTONIRMOLO","KASIHAN","BANTUL","Polsek Kasihan","","(0274) 450025","-7.82892953","110.342497"
